	Date	Retailer	Company	Margin	Amount
1	7/14/2019	Cash	AnchorVolt Industries	74.17	301.59
2	7/14/2019	Cash	AnchorVolt Industries	48.34	179.81
3	7/14/2019	Cash	HavellCore Technologies	15.72	63.00
4	7/14/2019	Cash	BharatElectra Works	123.21	3178.20
5	7/14/2019	Cash	BharatElectra Works	69.54	2304.18
6	7/14/2019	Cash	BharatElectra Works	378.33	934.00
7	7/14/2019	Cash	ZenithWeld Electric	703.94	1855.20
8	7/14/2019	Cash	BharatElectra Works	528.00	7403.00
9	7/14/2019	Cash	SupraVolt Manufacturing	6.59	53.60
10	7/15/2019	VoltMaster	SupraVolt Manufacturing	70.85	955.00
11	7/15/2019	VoltMaster	SupraVolt Manufacturing	179.40	1017.00
12	7/15/2019	VoltMaster	SupraVolt Manufacturing	163.00	1201.00
13	7/16/2019	ElectroGenius	SupraVolt Manufacturing	1215.95	4901.00
14	7/16/2019	ElectroGenius	SupraVolt Manufacturing	363.80	2043.00
15	7/16/2019	PowerPulse	AnchorVolt Industries	347.62	2941.40
16	7/16/2019	PulseCraft Depot	NexaGrid Solutions	41.31	204.00
17	7/16/2019	PulseCraft Depot	OrionVolt Systems	26.44	98.54
18	7/16/2019	PulseCraft Depot	AnchorVolt Industries	55.62	127.40
19	7/16/2019	PulseCraft Depot	AnchorVolt Industries	127.75	423.50
20	7/16/2019	PulseCraft Depot	Others	2.00	28.20
21	7/16/2019	PulseCraft Depot	PowerShakti Engineering	37.30	404.20
22	7/16/2019	PulseCraft Depot	Others	47.00	388.00
23	7/16/2019	PulseCraft Depot	VoltIndus Fabrications	193.04	594.00
24	7/16/2019	PulseCraft Depot	OrionVolt Systems	321.87	805.80
25	7/16/2019	PulseCraft Depot	OrionVolt Systems	51.95	161.70
26	7/16/2019	PulseCraft Depot	OrionVolt Systems	33.87	106.60
27	7/16/2019	ElectroFusion	FusionAnchor Technologies	113.06	665.74
28	7/16/2019	ElectroFusion	FusionAnchor Technologies	451.87	2689.38
29	7/16/2019	BrightCircuit	AnchorVolt Industries	374.88	2548.00
30	7/16/2019	BrightCircuit	SupraVolt Manufacturing	139.16	1430.00
31	7/16/2019	BrightCircuit	SupraVolt Manufacturing	227.00	1273.00
32	7/16/2019	BrightCircuit	SupraVolt Manufacturing	239.40	1058.00
33	7/16/2019	PulseCraft Depot	ApexVolt Industries	29.63	136.00
34	7/16/2019	PulseCraft Depot	HavellCore Technologies	5.08	30.40
35	7/16/2019	PulseCraft Depot	PowerShakti Engineering	12.05	142.40
36	7/16/2019	PulseCraft Depot	OrionVolt Systems	37.28	79.60
37	7/16/2019	PulseCraft Depot	OrionVolt Systems	100.76	335.28
38	7/18/2019	ElectroEmpire	SupraVolt Manufacturing	607.48	2452.00
39	7/18/2019	ElectroEmpire	SupraVolt Manufacturing	215.55	2835.00
40	7/18/2019	ElectroEmpire	SupraVolt Manufacturing	117.64	614.00
41	7/18/2019	ElectroEmpire	SupraVolt Manufacturing	156.00	1204.00
42	7/19/2019	Cash	AnchorVolt Industries	293.76	1923.07
43	7/19/2019	Cash	AnchorVolt Industries	414.88	2983.05
44	7/19/2019	Cash	BharatElectra Works	-9.22	1519.20
45	7/19/2019	ElectroSphere	AnchorVolt Industries	1493.91	4992.62
46	7/19/2019	ElectroSphere	AnchorVolt Industries	166.64	1168.00
47	7/19/2019	ElectroSphere	AnchorVolt Industries	376.97	2555.00
48	7/19/2019	ElectroSphere	AnchorVolt Industries	261.76	2037.10
49	7/19/2019	ElectroSphere	AnchorVolt Industries	202.77	1550.00
50	7/19/2019	ElectroSphere	AnchorVolt Industries	-34.69	472.00
51	7/19/2019	ElectroSphere	SupraVolt Manufacturing	102.95	323.00
52	7/19/2019	ElectroSphere	OrionVolt Systems	462.38	952.00
53	7/19/2019	ElectroSphere	OrionVolt Systems	368.37	1469.08
54	7/20/2019	CurrentCraft	SupraVolt Manufacturing	77.85	948.00
55	7/20/2019	CurrentCraft	SupraVolt Manufacturing	111.64	618.00
56	7/20/2019	CurrentCraft	SupraVolt Manufacturing	82.79	418.00
57	7/20/2019	CurrentCraft	SupraVolt Manufacturing	188.81	1543.00
58	7/20/2019	Cash	SupraVolt Manufacturing	54.40	140.00
59	7/20/2019	Cash	ApexVolt Industries	399.89	425.15
60	7/20/2019	Cash	AnchorVolt Industries	138.27	607.18
61	7/20/2019	Cash	AnchorVolt Industries	75.39	297.44
62	7/20/2019	Cash	AnchorVolt Industries	141.35	456.36
63	7/20/2019	Cash	AnchorVolt Industries	43.51	168.37
64	7/20/2019	Cash	AnchorVolt Industries	24.72	105.69
65	7/20/2019	Cash	AnchorVolt Industries	38.61	141.88
66	7/20/2019	Cash	AnchorVolt Industries	149.67	541.30
67	7/20/2019	Cash	VoltIndus Fabrications	43.00	174.00
68	7/20/2019	Cash	BharatElectra Works	363.70	3815.00
69	7/20/2019	Cash	SupraVolt Manufacturing	36.03	114.00
70	7/20/2019	Cash	SupraVolt Manufacturing	32.51	55.00
71	7/20/2019	BrightCircuit	OrionVolt Systems	289.60	1734.00
72	7/20/2019	BrightCircuit	OrionVolt Systems	296.60	1725.00
73	7/20/2019	BrightCircuit	OrionVolt Systems	1323.60	5191.00
74	7/21/2019	VoltageVault	SupraVolt Manufacturing	46.72	486.00
75	7/21/2019	VoltageVault	SupraVolt Manufacturing	68.24	472.00
76	7/21/2019	VoltageVault	SupraVolt Manufacturing	38.88	209.00
77	7/21/2019	VoltageVault	SupraVolt Manufacturing	203.97	820.00
78	7/21/2019	VoltageVault	SupraVolt Manufacturing	82.79	413.00
79	7/21/2019	VoltageVault	SupraVolt Manufacturing	50.94	266.00
80	7/21/2019	VoltageVault	SupraVolt Manufacturing	69.94	303.00
81	7/21/2019	VoltageVault	SupraVolt Manufacturing	50.08	210.00
82	7/21/2019	VoltageVault	SupraVolt Manufacturing	19.68	162.00
83	7/21/2019	VoltageVault	SupraVolt Manufacturing	123.30	629.00
84	7/21/2019	VoltageVault	SupraVolt Manufacturing	31.10	202.00
85	7/21/2019	VoltageVault	OrionVolt Systems	309.26	1415.40
86	7/21/2019	SparkWave	AnchorVolt Industries	455.72	3880.80
87	7/21/2019	SparkWave	SupraVolt Manufacturing	20.68	159.00
88	7/21/2019	SparkWave	SupraVolt Manufacturing	66.28	234.00
89	7/21/2019	SparkWave	SupraVolt Manufacturing	40.45	226.00
90	7/23/2019	WattWizard	AnchorVolt Industries	382.72	2946.40
91	7/23/2019	WattWizard	AnchorVolt Industries	122.08	944.40
92	7/23/2019	WattWizard	AnchorVolt Industries	160.45	1177.40
93	7/23/2019	WattWizard	AnchorVolt Industries	181.09	1306.30
94	7/23/2019	WattWizard	AnchorVolt Industries	244.04	1880.80
95	7/23/2019	WattWizard	AnchorVolt Industries	263.48	2075.30
96	7/23/2019	WattWizard	AnchorVolt Industries	851.41	2088.20
97	7/23/2019	WattWizard	AnchorVolt Industries	357.01	2783.00
98	7/23/2019	WattWizard	AnchorVolt Industries	296.51	2702.00
99	7/23/2019	WattWizard	AnchorVolt Industries	166.51	1473.00
100	7/23/2019	WattWizard	AnchorVolt Industries	357.51	2241.00
101	7/23/2019	WattWizard	AnchorVolt Industries	290.76	1740.50
102	7/23/2019	WattWizard	AnchorVolt Industries	129.88	1002.00
103	7/23/2019	WattWizard	SupraVolt Manufacturing	106.76	435.00
104	7/23/2019	WattWizard	SupraVolt Manufacturing	304.41	1125.00
105	7/23/2019	WattWizard	OrionVolt Systems	80.75	546.50
106	7/23/2019	WattWizard	OrionVolt Systems	94.35	643.30
107	7/23/2019	WattWizard	FusionAnchor Technologies	383.85	3129.09
108	7/23/2019	WattWizard	ElectroSaar Fabricators	58.00	400.00
109	7/23/2019	VoltMaster	ElectroSaar Fabricators	-33.32	568.00
110	7/23/2019	VoltMaster	ElectroSaar Fabricators	279.00	1860.00
111	7/23/2019	Cash	HavellCore Technologies	11.55	11.20
112	7/23/2019	Cash	Others	25.60	76.00
113	7/23/2019	Cash	SupraVolt Manufacturing	21.98	106.20
114	7/23/2019	Cash	OrionVolt Systems	27.96	89.80
115	7/26/2019	PowerNode	AnchorVolt Industries	107.84	707.70
116	7/26/2019	PowerNode	AnchorVolt Industries	134.93	805.10
117	7/26/2019	PowerNode	AnchorVolt Industries	449.65	2759.60
118	7/26/2019	PowerNode	FusionAnchor Technologies	282.04	2404.78
119	7/26/2019	PowerNode	FusionAnchor Technologies	266.63	1743.83
120	7/26/2019	PowerNode	FusionAnchor Technologies	346.38	2998.39
121	7/26/2019	PowerNode	FusionAnchor Technologies	131.96	1041.37
122	7/26/2019	VoltVille	AnchorVolt Industries	263.66	1970.50
123	7/26/2019	VoltVille	AnchorVolt Industries	190.91	1277.50
124	7/26/2019	VoltVille	AnchorVolt Industries	166.48	896.50
125	7/26/2019	VoltVille	AnchorVolt Industries	258.64	2039.10
126	7/26/2019	VoltVille	AnchorVolt Industries	532.65	2516.50
127	7/26/2019	VoltVille	AnchorVolt Industries	224.27	1381.30
128	7/26/2019	VoltVille	AnchorVolt Industries	211.33	1641.25
129	7/26/2019	VoltVille	AnchorVolt Industries	111.79	894.20
130	7/26/2019	VoltVille	AnchorVolt Industries	212.57	1235.00
131	7/26/2019	VoltVille	AnchorVolt Industries	515.17	2172.01
132	7/26/2019	VoltVille	OrionVolt Systems	292.91	536.50
133	7/26/2019	ElectroMotive	AnchorVolt Industries	525.61	3930.00
134	7/26/2019	ElectroMotive	AnchorVolt Industries	505.58	4053.20
135	7/26/2019	ElectroMotive	AnchorVolt Industries	178.89	1480.70
136	7/26/2019	ElectroMotive	AnchorVolt Industries	286.78	1230.60
137	7/26/2019	ElectroMotive	AnchorVolt Industries	208.80	1543.00
138	7/26/2019	ElectroSphere	GridHaven Systems	271.75	1613.00
139	7/26/2019	PulseCraft Depot	ApexVolt Industries	27.00	34.00
140	7/26/2019	PulseCraft Depot	PowerShakti Engineering	57.14	950.00
141	7/26/2019	PulseCraft Depot	NexaGrid Solutions	14.10	56.00
142	7/27/2019	Cash	OrionVolt Systems	61.64	249.78
143	7/16/2019	PulseCraft Depot	AnchorVolt Industries	437.02	1083.44
144	7/28/2019	WattWorld	AnchorVolt Industries	102.61	733.50
145	7/28/2019	WattWorld	AnchorVolt Industries	1495.38	4994.18
146	7/28/2019	WattWorld	AnchorVolt Industries	265.75	1966.50
147	7/28/2019	WattWorld	AnchorVolt Industries	450.82	3883.80
148	7/28/2019	WattWorld	AnchorVolt Industries	184.31	1337.40
149	7/28/2019	WattWorld	AnchorVolt Industries	1065.53	5019.00
150	7/28/2019	WattWorld	AnchorVolt Industries	212.40	1650.25
151	7/28/2019	WattWorld	AnchorVolt Industries	173.33	1025.40
152	7/28/2019	WattWorld	PowerCrest Engineering	97.10	501.50
153	7/28/2019	WattWorld	PowerCrest Engineering	153.98	950.00
154	7/28/2019	WattWorld	PowerCrest Engineering	266.67	1628.00
155	7/29/2019	BrightEnergy	AnchorVolt Industries	528.28	3476.00
156	7/29/2019	BrightEnergy	AnchorVolt Industries	737.10	5309.60
157	7/29/2019	BrightEnergy	AnchorVolt Industries	256.84	1596.20
158	7/29/2019	BrightEnergy	AnchorVolt Industries	213.04	1644.25
159	7/29/2019	BrightEnergy	OrionVolt Systems	150.21	763.75
160	7/29/2019	BrightEnergy	OrionVolt Systems	347.64	2099.00
161	7/29/2019	BrightEnergy	OrionVolt Systems	62.11	1532.80
162	7/29/2019	BrightEnergy	OrionVolt Systems	179.50	1004.00
163	7/29/2019	BrightEnergy	OrionVolt Systems	2646.00	12264.00
164	8/1/2019	WattWorld	AnchorVolt Industries	176.76	1165.00
165	8/2/2019	ElectroGlow	AnchorVolt Industries	315.66	2268.80
166	8/2/2019	ElectroGlow	AnchorVolt Industries	292.58	1704.70
167	8/2/2019	ElectroGlow	AnchorVolt Industries	323.18	2062.90
168	8/2/2019	ElectroGlow	AnchorVolt Industries	291.72	1228.60
169	8/2/2019	ElectroGlow	AnchorVolt Industries	398.22	1545.00
170	8/2/2019	ElectroGlow	OrionVolt Systems	86.61	815.00
171	8/2/2019	ElectroGlow	OrionVolt Systems	454.25	2047.28
172	8/2/2019	ElectroGlow	OrionVolt Systems	719.69	2942.16
173	8/2/2019	ElectroGlow	OrionVolt Systems	211.64	2138.48
174	8/2/2019	CurrentControl	SupraVolt Manufacturing	37.35	392.00
175	8/2/2019	CurrentControl	SupraVolt Manufacturing	111.00	491.00
176	8/2/2019	CurrentControl	OrionVolt Systems	226.96	889.70
177	8/2/2019	CurrentControl	FusionAnchor Technologies	318.49	2747.64
178	8/2/2019	CurrentControl	FusionAnchor Technologies	62.03	512.56
179	8/2/2019	CurrentControl	FusionAnchor Technologies	73.90	612.58
180	8/2/2019	CurrentControl	FusionAnchor Technologies	87.49	750.39
181	8/2/2019	CurrentControl	FusionAnchor Technologies	123.51	1051.71
182	8/2/2019	CurrentControl	FusionAnchor Technologies	273.47	2350.16
183	8/1/2019	Cash	NexaGrid Solutions	74.00	71.00
184	8/3/2019	ElectroEmpire	SupraVolt Manufacturing	30.30	391.00
185	8/3/2019	ElectroEmpire	SupraVolt Manufacturing	269.01	2271.00
186	8/3/2019	ElectroEmpire	OrionVolt Systems	617.52	3359.16
187	8/3/2019	SparkHaven	FusionAnchor Technologies	109.52	637.37
188	8/3/2019	SparkHaven	FusionAnchor Technologies	146.83	842.61
189	8/3/2019	BrightCircuit	AnchorVolt Industries	258.82	1973.50
190	8/3/2019	BrightCircuit	AnchorVolt Industries	208.70	1404.40
191	8/3/2019	BrightCircuit	AnchorVolt Industries	258.80	2038.10
192	8/3/2019	BrightCircuit	AnchorVolt Industries	432.30	2763.60
193	8/3/2019	BrightCircuit	AnchorVolt Industries	419.26	3284.50
194	8/4/2019	PulseCraft Depot	Others	45.08	122.00
195	8/4/2019	PulseCraft Depot	PowerShakti Engineering	44.77	849.00
196	8/4/2019	PulseCraft Depot	Others	-40.11	303.00
197	8/4/2019	PulseCraft Depot	OrionVolt Systems	120.08	411.20
198	8/4/2019	PulseCraft Depot	FusionAnchor Technologies	241.42	834.02
199	8/4/2019	PulseCraft Depot	FusionAnchor Technologies	112.80	416.60
200	8/4/2019	PulseCraft Depot	FusionAnchor Technologies	134.73	489.16
201	8/4/2019	PulseCraft Depot	ElectroSaar Fabricators	71.93	227.00
202	5/21/2019	Cash	SupraVolt Manufacturing	21.44	29.88
203	8/5/2019	ElectroFusion	Others	507.20	4415.00
204	8/5/2019	ElectroFusion	Others	252.06	1541.00
205	8/5/2019	ElectroFusion	Others	534.16	4163.60
206	8/5/2019	ElectroFusion	Others	278.27	1839.67
207	8/5/2019	ElectroFusion	Others	22.65	378.00
208	8/5/2019	ElectroFusion	Others	119.67	506.00
209	8/5/2019	ElectroFusion	SupraVolt Manufacturing	85.16	332.00
210	8/5/2019	ElectroFusion	SupraVolt Manufacturing	151.20	444.00
211	8/5/2019	ElectroFusion	OrionVolt Systems	183.18	997.00
212	8/5/2019	ElectroFusion	OrionVolt Systems	91.35	635.30
213	8/5/2019	ElectroFusion	FusionAnchor Technologies	850.45	3394.87
214	8/5/2019	ElectroFusion	FusionAnchor Technologies	643.86	5495.29
215	8/5/2019	ElectroFusion	FusionAnchor Technologies	236.38	1961.68
216	8/5/2019	ElectroFusion	FusionAnchor Technologies	116.04	1000.12
217	8/5/2019	ElectroFusion	FusionAnchor Technologies	141.78	1233.16
218	8/5/2019	ElectroFusion	FusionAnchor Technologies	348.88	2984.52
219	8/5/2019	ElectroFusion	FusionAnchor Technologies	245.97	2098.42
220	8/5/2019	ElectroFusion	FusionAnchor Technologies	278.40	2349.16
221	8/6/2019	Cash	BharatElectra Works	170.00	1894.00
